Movie Name,CSS,Language,Runtime (min.),IMDb_Rating,Animated,Genre,Fantasy,Drama,Music,Adventure,Thriller,Action,Family,Romance,Mystery,Sports,Comedy,Horror,Crime,SciFi,Lead_Actor,Lead_Actress,Director,Budget,BO Collection (Total),Trailer Views,Trailer Likes (K),Music_Rating,No. of Screens,Verdict
alicethroughthelookingglass,0.5,English,113,6.2,Live Action,"Adventure, Family, Fantasy",1,0,0,1,0,0,1,0,0,0,0,0,0,0,Mia Wasikowska,Johnny Depp,James Bobin,170,299.46,47307889,3844,6.3,3000,Blockbuster
shrekthethird,,English,93,6,Animated,"Animation, Adventure, Comedy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,Mike Myers,Eddie Murphy,Chris Miller,160,798.98,19571275,4122,6,3000,Blockbuster
warcraft,0.4,English,123,6.8,Live Action,"Action, Adventure, Fantasy",1,0,0,1,0,1,0,0,0,0,0,0,0,0,Travis Fimmel,Paula Patton,Duncan Jones,160,439.03,41015393,3923,7.2,3000,Blockbuster
terminatorgenisys,0.3,English,126,6.3,Live Action,"Action, Adventure, Sci-fi",0,0,0,1,0,1,0,0,0,0,0,0,0,1,Arnold Schwarzenegger,Emilia Clarke,Alan Taylor,155,439.52,36120384,3956,6.1,3000,Blockbuster
thechroniclesofnarniathevoyageofthedawntreader,0.45,English,113,6.3,Live Action,"Adventure, Family, Fantasy",1,0,0,1,0,0,1,0,0,0,0,0,0,0,Georgie Henley,Skandar Keynes,Michael Apted,155,418.19,26196163,3365,6.2,3000,Hit
pearlharbor,0.35,English,183,6.2,Live Action,"Action, Drama, History",0,1,0,0,0,1,0,0,0,0,0,0,0,0,Ben Affleck,Kate Beckinsale,Michael Bay,140,449.22,17080245,3361,6.7,3000,Hit
transformers,0.25,English,144,7,Live Action,"Action, Adventure, Sci-fi",0,0,0,1,0,1,0,0,0,0,0,0,0,1,Shia LaBeouf,Megan Fox,Michael Bay,150,709.71,35911225,4131,7.3,3000,Blockbuster
alexander,0.45,English,175,5.6,Live Action,"Action, Biography, Drama",0,1,0,0,0,1,0,0,0,0,0,0,0,0,Colin Farrell,Angelina Jolie,Oliver Stone,155,167.3,13341106,2945,7,3000,Flop
harrypotterandtheorderofthephoenix,0,English,138,7.5,Live Action,"Action, Adventure, Family",0,0,0,1,0,1,1,0,0,0,0,0,0,0,Daniel Radcliffe,Emma Watson,David Yates,150,942.04,51198000,4375,7.4,3000,Blockbuster
harrypotterandthegobletoffire,0.05,English,157,7.7,Live Action,"Adventure, Family, Fantasy",1,0,0,1,0,0,1,0,0,0,0,0,0,0,Daniel Radcliffe,Emma Watson,Mike Newell,150,896.4,26964000,3850,7.7,3000,Blockbuster
hancock,0,English,92,6.4,Live Action,"Action, Fantasy, Sci-fi",1,0,0,0,0,1,0,0,0,0,0,0,0,1,Will Smith,Charlize Theron,Peter Berg,150,624.38,37125000,3880,6.4,3000,Superhit
iamlegend,0.2,English,101,7.2,Live Action,"Drama, Horror, Sci-fi",0,1,0,0,0,0,0,0,0,0,0,1,0,1,Will Smith,Alice Braga,Francis Lawrence,150,585.35,45540000,3662,7.2,3000,Blockbuster
charlieandthechocolatefactory,0.45,English,115,6.6,Live Action,"Adventure, Comedy, Family",0,0,0,1,0,0,1,0,0,0,1,0,0,0,Johnny Depp,Freddie Highmore,Tim Burton,150,474.97,16841247,3625,7.1,3000,Hit
ratatouille,,English,111,8,Animated,"Animation, Adventure, Comedy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,Patton Oswalt,Ian Holm,Brad Bird,150,623.72,15046588,4008,7.9,3000,Superhit
batmanbegins,0.2,English,140,8.2,Live Action,"Action, Adventure, Crime",0,0,0,1,0,1,0,0,0,0,0,0,1,0,Christian Bale,Michael Caine,Christopher Nolan,150,373.41,14708365,3607,8.2,3000,Superhit
madagascarescape2africa,,English,89,6.6,Animated,"Animation, Adventure, Comedy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,Ben Stiller,Chris Rock,Eric Darnell,150,603.9,21800000,4057,6.6,3000,Hit
