Movie Name,CSS,Language,Runtime (min.),IMDb_Rating,Animated,Genre,Fantasy,Drama,Music,Adventure,Thriller,Action,Family,Romance,Mystery,Sports,Comedy,Horror,Crime,SciFi,Lead_Actor,Lead_Actress,Director,Budget,BO Collection (Total),Trailer Views,Trailer Likes (K),Music_Rating,No. of Screens,Verdict
blackhawkdown,0.35,English,144,7.7,Live Action,"Drama, History, War",0,0,0,1,0,1,1,0,0,0,0,1,0,0,Josh Hartnett,Ewan McGregor,Ridley Scott,92.0,172.4,20370329.00,113,7.7,">3,470",Superhit
thecampaign,,English,85,6.1,Live Action,Comedy,0,1,0,0,0,0,1,0,0,0,1,0,0,1,Will Ferrell,Zach Galifianakis,Jay Roach,95.0,104.9,3381542.00,68,6.1,>3000,Average
thefifthelement,0.25,English,126,7.7,Live Action,"Action, Adventure, Sci-Fi",0,0,0,0,0,0,0,0,0,0,0,1,0,1,Bruce Willis,Milla Jovovich,Luc Besson,80.0,263.9,15310563.00,90,7.7,>3000,Blockbuster
sexandthecity2,0.35,English,146,4.3,Live Action,"Comedy, Drama, Romance",0,0,0,1,1,0,0,1,0,0,0,0,0,0,Sarah Jessica Parker,Kim Cattrall,Michael Patrick King,95.0,294.7,16920650.00,69,4.3,>4000,Flop
theroadtoeldorado,,English,89,6.9,Animated,"Animation, Adventure, Comedy",0,0,0,0,1,1,0,0,0,0,0,0,0,0,Kevin Kline,Kenneth Branagh,"Bibo Bergeron, Will Finn, Don Paul, David Silverman",95.0,76.4,13905235.00,19,6.9,>1000,Flop
iceagecontinentaldrift,0.0,English,88,6.6,Animated,"Animation, Adventure, Comedy",0,1,0,1,1,0,0,1,0,0,0,0,0,0,Ray Romano,Queen Latifah,"Steve Martino, Mike Thurmeier",95.0,877.2,14071914.00,77,6.6,>3000,Blockbuster
cinderella,0.25,English,105,6.9,Live Action,"Drama, Family, Fantasy",0,0,0,0,1,0,0,0,0,1,0,0,0,0,Lily James,Cate Blanchett,Kenneth Branagh,135.0,543.5,201151353.00,63,6.9,>3500,Superhit
thelovelybones,0.7,English,135,6.7,Live Action,"Drama, Fantasy, Thriller",0,1,0,0,0,0,0,1,0,0,0,0,0,0,Mark Wahlberg,Saoirse Ronan,Peter Jackson,65.0,93.6,44114232.00,119,6.7,>3000,Flop
findingnemo,0.5,English,100,8.1,Animated,"Animation, Adventure, Comedy",0,1,0,1,0,0,1,0,0,0,0,0,0,0,Albert Brooks,Ellen DeGeneres,"Andrew Stanton, Lee Unkrich",94.0,940.3,87449427.00,60,8.1,>3400,Blockbuster
thelordoftheringsthereturnoftheking,0.55,English,201,8.9,Live Action,"Action, Adventure, Drama",1,1,0,1,0,0,1,1,0,0,0,0,0,1,Elijah Wood,Viggo Mortensen,Peter Jackson,94.0,1140.3,141407024.00,61,8.7,>2000,Blockbuster
thelordoftheringsthetwotowers,0.15,English,179,8.7,Live Action,"Action, Adventure, Drama",1,1,0,1,0,0,1,1,0,0,0,0,0,1,Elijah Wood,Viggo Mortensen,Peter Jackson,94.0,926.0,41122566.00,119,8.6,>2000,Blockbuster
seventhson,0.3,English,102,5.5,Live Action,"Action, Adventure, Fantasy",1,0,0,1,1,1,0,0,0,0,0,0,0,0,Ben Barnes,Jeff Bridges,Sergei Bodrov,95.0,114.2,131883002.00,60,5.5,>2000,Flop
laracrofttombraider,0.0,English,100,5.8,Live Action,"Action, Adventure, Fantasy",0,1,0,1,1,0,1,0,0,0,0,1,0,1,Angelina Jolie,,Simon West,115.0,274.7,103028322.00,59,5.8,>4000,Hit
transcendence,0.6,English,119,6.3,Live Action,"Action, Drama, Sci-Fi",0,1,0,0,0,1,0,0,1,0,0,1,1,0,Johnny Depp,Rebecca Hall,Wally Pfister,100.0,103.0,54616869.00,100,6.3,>1000,Flop
jurassicparkiii,,English,92,5.9,Live Action,"Action, Adventure, Sci-Fi",1,0,0,1,0,0,1,1,0,0,0,0,0,1,Sam Neill,Téa Leoni,Joe Johnston,93.0,368.8,105194428.00,53,5.9,>3000,Average
riseoftheplanetoftheapes,0.3,English,105,7.6,Live Action,"Action, Drama, Sci-Fi",0,0,0,1,1,0,1,0,0,0,0,0,0,0,James Franco,Andy Serkis,Rupert Wyatt,93.0,481.8,162839667.00,60,7.5,>3500,Hit
thespiderwickchronicles,,English,96,6.6,Live Action,"Adventure, Family, Fantasy",1,0,0,1,0,0,0,1,0,0,0,0,0,1,Freddie Highmore,Sarah Bolger,Mark Waters,90.0,162.8,304654182.00,58,6.6,>3000,Average
agooddaytodiehard,0.2857142857142857,English,98,5.2,Live Action,"Action, Thriller",0,0,0,0,0,1,1,0,0,1,0,0,0,0,Bruce Willis,Jai Courtney,John Moore,92.0,304.7,304654182.00,"3,641",5.2,>3400,Flop
